error paint_template_error | 27.10.2015 02:43:16  |  User:   | services | response 200
error loadView general | 23.12.2015 12:35:42  |  User:   | products | response 400
error loadView general | 23.12.2015 12:36:20  |  User:   | products | response 400
error loadView general | 23.12.2015 01:17:12  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:17:12  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:17:15  |  User:   | main | response 400
error loadView general | 23.12.2015 01:17:15  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:17:15  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:17:17  |  User:   | main | response 400
error loadView general | 23.12.2015 01:17:17  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:17:17  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:17:22  |  User:   | main | response 400
error loadView general | 23.12.2015 01:17:22  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:17:27  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:17:27  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:18:19  |  User:   | main | response 400
error loadView general | 23.12.2015 01:18:19  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:18:20  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:18:23  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:18:34  |  User:   | main/view | response 400
error loadView general | 23.12.2015 01:20:50  |  User:   | main | response 400
error loadView general | 23.12.2015 01:32:54  |  User:   | products/list_products/PhpProject1 | response 400
error loadView general | 23.12.2015 02:06:23  |  User:   | products/list_products/PhpProject1 | response 400
error loadView general | 23.12.2015 02:14:06  |  User:   | products/list_products/PhpProject1/products | response 400
error loadView general | 23.12.2015 02:21:18  |  User:   | users/form_users | response 400
error loadView general | 23.12.2015 02:21:23  |  User:   | users/form_users | response 400
error loadView general | 23.12.2015 02:21:24  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:21:25  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:21:27  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:21:49  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:38:48  |  User:   | products/list_products/products | response 400
error loadView general | 23.12.2015 02:38:55  |  User:   | products/list_products/products | response 400
error loadView general | 23.12.2015 02:39:20  |  User:   | products/list_products/products | response 400
error loadView general | 23.12.2015 02:40:09  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:40:15  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:42:26  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:46:18  |  User:   | products/list_products/products | response 400
error loadView general | 23.12.2015 02:47:08  |  User:   | products/list_products/products | response 400
error loadView general | 23.12.2015 02:49:13  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:49:13  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:49:31  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:49:31  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:56:16  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:56:16  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:58:17  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 02:58:17  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 03:09:56  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 03:10:07  |  User:   | products/list_products | response 400
error loadView general | 23.12.2015 04:51:04  |  User:   | products | response 400
error loadView general | 23.12.2015 04:52:05  |  User:   | products | response 400
error loadView general | 24.12.2015 11:22:02  |  User:   | users | response 400
error loadView general | 24.12.2015 11:28:10  |  User:   | users | response 400
error loadView general | 24.12.2015 01:08:27  |  User:   | users | response 400
ERROR - 503 BD | 26.12.2015 10:26:00  |  User:   |  | response 200
error paint_template_error | 26.12.2015 10:26:00  |  User:   | products | response200
ERROR - 404 NO DATA | 26.12.2015 10:26:14  |  User:   |  | response 200
error paint_template_search | 26.12.2015 10:26:14  |  User:   | products | response 200
ERROR - 503 BD | 26.12.2015 10:26:36  |  User:   |  | response 200
error paint_template_search | 26.12.2015 10:26:36  |  User:   | products | response 200
ERROR - 404 NO DATA | 26.12.2015 10:26:58  |  User:   |  | response 200
error paint_template_search | 26.12.2015 10:26:58  |  User:   | products | response 200
ERROR - 503 BD | 26.12.2015 10:27:16  |  User:   |  | response 200
error paint_template_search | 26.12.2015 10:27:16  |  User:   | products | response 200
ERROR - 503 BD | 26.12.2015 10:27:22  |  User:   |  | response 200
error paint_template_search | 26.12.2015 10:27:22  |  User:   | products | response 200
ERROR - 404 NO DATA | 26.12.2015 10:27:33  |  User:   |  | response 200
error paint_template_search | 26.12.2015 10:27:33  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:54:53  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:54:53  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:54:53  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:54:53  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:54:53  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:54:53  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:07  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:07  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:07  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:07  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:07  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:07  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:11  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:11  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:11  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:11  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:11  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 11:55:11  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:16  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:16  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:16  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:16  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:16  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:16  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:27  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:27  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:27  |  User:   | products | response 200
ERROR: [2] mysqli::mysqli(): (HY000/1045): Access denied for user 'root'@'localhost' (using password: YES)
Warning on line 44 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:27  |  User:   | products | response 200
ERROR: [2] mysqli::select_db(): Couldn't fetch mysqli
Warning on line 45 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:27  |  User:   | products | response 200
ERROR: [2] mysqli::query(): Couldn't fetch mysqli
Warning on line 49 in file /home/ubuntu/workspace/12F_PhpProject_Miguel_prettyurls/model/db.class.singleton.php
 | 13.03.2016 12:01:27  |  User:   | products | response 200
ERROR - 404 NO DATA | 13.03.2016 03:48:33  |  User:   |  | response 200
error paint_template_search | 13.03.2016 03:48:34  |  User:   | products | response 200
error loadView general | 15.11.2016 05:01:12  |  User:   | products | response 400
ERROR - 404 NO DATA | 13.09.2017 10:20:54  |  User:   |  | response 200
error paint_template_search | 13.09.2017 10:20:55  |  User:   | products | response 200
ERROR - 404 NO DATA | 13.09.2017 10:21:05  |  User:   |  | response 200
error paint_template_search | 13.09.2017 10:21:05  |  User:   | products | response 200
error paint_template_error | 13.09.2017 10:21:11  |  User:   | products | response200
